index,MovieID,Title,Director,Genre,ReleaseYear,Budget (Crores),BoxOffice (Crores),Rating,Duration (minutes),LeadActor,LeadActress,Language,ProductionCompany
0,MOV008,Sarkar ,A. R. Murugadoss,"Action, Thriller",2005,102,190,7.5,173.0,Vijay,Keerthy Suresh,Tamil,Kalaignar TV
1,MOV010,2.0 ,S. Shankar,"Science, Fiction, Action",2018,550,800,6.9,147.0,Rajinikanth,Amy Jackson,Tamil,Lyca Productions
2,MOV022,K.G.F: Chapter 1,Prashanth Neel,"Action, Drama",2018,50,250,7.9,156.0,Yash,Srinidhi Shetty,Kannada,Hombale Films
3,MOV024,Avengers: Endgame ,"Anthony Russo, Joseph Russo",Superhero,2019,102,190,8.4,181.0,Robert Downey Jr.,Scarlett Johansson,"English (Dubbed in Telugu, Kannada, Hindi)",Marvel Studios
4,MOV026,Pailwaan,S. Krishna,"Sports, Action",2019,30,55,6.8,152.6,Sudeep,Aakanksha Singh,Kannada,RRR Motion Pictures
5,MOV028,Yajamana,"V. Harikrishna, P. Kumar","Action, Drama",2019,20,40,6.3,164.0,Darshan,Rashmika Mandanna,Kannada,Media House Studio
6,MOV030,Gentleman,Jadesh Kumar,"Action, Thriller",2019,10,20,6.1,145.0,Puneeth Rajkumar,Nishvika Naidu,Kannada,Sri Jagadguru Movies
7,MOV031,Saaho,Sujeeth,"Action, Thriller",2019,300,450,7.1,170.0,Prabhas,Shraddha Kapoor,"Telugu (Dubbed in Hindi, Kannada)",UV Creations
8,MOV032,Kavaludaari,Hemanth M. Rao,Thriller,2019,5,10,7.4,118.0,Rishi,Anant Nag,Kannada,PNK Productions
9,MOV033,96 ,C. Premkumar,"Romantic, Drama",2019,102,190,7.9,158.0,Vijay Sethupathi,Trisha,Kannada (Dubbed from Tamil),Madras Enterprises
10,MOV035,Dabangg 3 ,Prabhu Deva,"Action, Comedy",2019,102,190,5.8,159.0,Salman Khan,Sonakshi Sinha,Telugu (Dubbed from Hindi),S. K. Film Enterprises
11,MOV037,Shylock ,Ajai Vasudev,"Action, Thriller",2020,102,190,6.8,164.0,Mammootty,Rajkiran,Kannada (Dubbed from Malayalam),Vrindaavan Films
12,MOV038,Love Aaj Kal ,Imtiaz Ali,"Romantic, Drama",2020,102,190,4.4,141.0,Kartik Aaryan,Sara Ali Khan,Telugu (Dubbed from Hindi),Reliance Entertainment
13,MOV039,Forensic ,"Akhil Paul, Anas Khan",Thriller,2020,102,190,6.9,129.0,Tovino Thomas,Mamta Mohandas,Kannada (Dubbed from Malayalam),Evil Eye Pictures
14,MOV040,Trance ,Anwar Rasheed,"Psychological, Thriller",2020,102,190,7.1,162.0,Fahadh Faasil,Nazriya Nazim,Kannada (Dubbed from Malayalam),Dulquer Salmaan Productions
15,MOV046,Aruvi,Arun Prabu Purushothaman,Drama,2016,1,5,8.1,144.0,Aditi Balan,Lakshmi Gopalswamy,Tamil,Dream Warrior Pictures
16,MOV049,U Turn,Pawan Kumar,Thriller,2018,5,20,7.9,128.0,Shraddha Srinath,Dilip Raj,Kannada,PRK Productions
